Symbol,Full Name,GICS Sector,Cluster,governanceScore,environmentScore,Stock_return,marketCap
A,Agilent Technologies,Health Care,0,-0.2775489902352121,-0.916056441411941,-0.631428742729171,-0.2237798385066222
AAL,American Airlines Group,Industrials,2,-0.8963673536530472,0.8161528521728492,-0.8427746249269431,-0.3279252744570412
AAPL,Apple Inc.,Information Technology,1,1.232552538403833,-1.045677545013524,0.9293166082064136,10.237991113484869
ABBV,AbbVie,Health Care,3,1.6897392397349202,-0.6685979708998281,-0.1758562095335527,0.746294418974888
ABT,Abbott Laboratories,Health Care,0,0.7522755996317823,-0.6902014881667586,-0.4872848888608331,0.3088354493997232
ACGL,Arch Capital Group,Financials,3,1.934495756609139,-0.8473179773807986,0.8931137779648883,-0.2138083598671646
ACN,Accenture,Information Technology,0,-1.057999015739795,-0.974975124867206,-0.0758096781179324,0.3267692356103248
ADBE,Adobe Inc.,Information Technology,0,-0.7162635016135277,-0.7550120399675501,0.7052877064459497,0.3913983787484807
ADI,Analog Devices,Information Technology,2,0.1288391887257545,0.6845677924560908,0.2446283287701348,0.0079638979114498
ADM,Archer Daniels Midland,Consumer Staples,2,-0.7809161664482271,2.132003449340434,-1.1151190951513996,-0.2586166909049232
ADP,Automatic Data Processing,Industrials,0,-0.5592498870149726,-0.5861118140624572,-0.2611579159766453,0.0145734759231339
ADSK,Autodesk,Information Technology,0,-0.8363327363065408,-0.4132836759270131,0.1558107812382399,-0.1661230769323734
AEE,Ameren,Utilities,2,-0.6700830267315999,1.3876640816889194,-0.6671844038099812,-0.2782260584105756
AEP,American Electric Power,Utilities,2,-0.6100484093850935,1.350348915500585,-0.4457953980430952,-0.1720734368102668
AES,AES Corporation,Utilities,2,-0.6654649792434072,1.468186282411115,-1.2411272286535997,-0.3075475598909336
AFL,Aflac,Financials,0,1.015504306458772,-1.077100842856332,0.4154756433826709,-0.1532724487827811
AIG,American International Group,Financials,3,2.84425111178312,-0.8119667673076395,-0.1484550763156122,-0.1992250388005903
AIZ,Assurant,Financials,3,2.2900854131999844,-0.8158946795379906,0.4161966993961689,-0.3189211452980059
AJG,Arthur J. Gallagher & Co.,Financials,3,1.5927602424828715,-1.1183439212750177,0.4520799025392507,-0.1406353444067968
AKAM,Akamai Technologies,Information Technology,0,0.1057489512847902,-0.5468326917589471,-0.1943586337081871,-0.3031564262479257
ALB,Albemarle Corporation,Materials,2,-0.1713338980067775,1.8865089349434965,-1.5763029093818766,-0.3175756731255264
ALL,Allstate,Financials,3,1.9298777091209465,-0.9337320464485204,0.1325887804491624,-0.18984129665199
ALLE,Allegion,Industrials,2,-0.7670620239836486,1.004692639229697,-0.0333926653418097,-0.3113598659297312
AMAT,Applied Materials,Information Technology,0,-0.6562288842670214,-0.2542032305977977,1.299430432797583,0.1480058585197545
AME,Ametek,Industrials,2,0.0133880015209345,0.5628025133152099,-0.161091127152427,-0.2260988072255135
AMGN,Amgen,Health Care,0,0.4844288453165999,-0.9926507299037852,-0.0569733116667855,0.2230191578235816
AMP,Ameriprise Financial,Financials,3,1.6805031447585348,-0.727516654355093,0.2466045611591918,-0.2088340428718222
AMT,American Tower,Real Estate,0,-0.7116454541253351,-0.5664722529107021,-0.4693973578696386,0.0091347387984823
AMZN,Amazon,Consumer Discretionary,1,1.1632818260809417,0.0423541427937026,1.3716556831142277,5.950022325210599
ANET,Arista Networks,Information Technology,0,0.3181791357416589,-1.0574612817045768,2.868982383613728,0.0128113586774332
ANSS,Ansys,Information Technology,0,-0.7532078815190701,-0.4466709298849967,0.0692071828996477,-0.2624239963869618
AOS,A. O. Smith,Industrials,2,-0.1297714706130424,0.2682090960388851,0.2007350997740136,-0.3132102693209474
APA,APA Corporation,Energy,2,0.5814078425686486,3.1807560148441505,-1.1633960815068891,-0.3214846511119307
APD,Air Products,Materials,2,-1.5475120494882315,0.3212359111486235,-0.707768140640544,-0.1435564327969073
APH,Amphenol,Information Technology,2,0.4151581329937077,0.3015963499968686,0.8133519501858676,-0.1039105054854279
APTV,Aptiv,Consumer Discretionary,0,-0.6654649792434072,-0.8512458896111494,-0.956560066255782,-0.2984853568317749
ARE,Alexandria Real Estate Equities,Real Estate,0,-0.1759519454949702,-0.3681126852779767,-0.8496712007069477,-0.2814062085392004
ATO,Atmos Energy,Utilities,2,-0.157479755542199,1.7765273924936684,-0.2349059431085712,-0.2825934196699385
AVB,AvalonBay Communities,Real Estate,0,-0.9009854011412398,-0.5546885162196492,0.1595131131830215,-0.2450973369840182
AVGO,Broadcom,Information Technology,0,-0.0281744258728009,0.3055242622272194,2.902884185741056,2.086424575624969
AVY,Avery Dennison,Materials,2,-1.381262339913291,1.106818357218823,-0.172389325299601,-0.2943118954505808
AWK,American Water Works,Utilities,2,-0.7855342139364199,0.6393968018070542,-0.6737126892130758,-0.2576480567419915
AXP,American Express,Financials,3,1.3849481055141954,-1.1261997457357191,0.7998166228761031,0.2546741033187122
AZO,AutoZone,Consumer Discretionary,0,-1.3258457700549773,-1.1144160090446664,0.0013314216844166,-0.1812994640305613
BA,Boeing,Industrials,2,0.7338034096790107,0.6001176795035443,-0.7439856938444607,-0.0418771250421321
BAC,Bank of America,Financials,3,2.206960558412514,-0.7962551183862354,-0.1632400334950089,0.6344685999347316
BALL,Ball Corporation,Materials,2,-1.3674081974487124,0.3565871212217824,-0.1423299042165053,-0.2859340152940468
BAX,Baxter International,Health Care,0,0.2027279485368389,-0.5802199457169306,-1.0031375174415071,-0.2855030857356628
